"ID","Título","Descripción","Prioridad","Tipo","Tiempo estimado (h)","Criterios de aceptación","Sprint sugerido","Estado","Observaciones"
1,"Definir objetivos del módulo","Como desarrollador, necesito clarificar objetivos para el scoreboard y documentarlos.","Alta","Historia de usuario",2,"Objetivos escritos y validados","Sprint 1","To Do","Tiempo estimado por asistente, revisar y ajustar."
2,"Relevamiento de reglas","Como desarrollador, necesito conocer las reglas de puntaje y duración para programar la lógica.","Alta","Spike",3,"Reglas documentadas y aprobadas","Sprint 1","To Do","Tiempo estimado por asistente, revisar y ajustar."
3,"Especificar estados de la pelea","Como desarrollador, quiero definir todos los estados y sus transiciones.","Alta","Tarea técnica",2,"Estados y transiciones documentados","Sprint 1","To Do","Tiempo estimado por asistente, revisar y ajustar."
4,"Wireframes / Mockups","Como usuario, quiero ver cómo se verá el tablero y panel antes de implementarlo.","Media","Historia de usuario",4,"Mockups aprobados","Sprint 1","To Do","Tiempo estimado por asistente, revisar y ajustar."
5,"Definición de arquitectura","Como desarrollador, quiero tener definida la arquitectura técnica y modularización.","Alta","Tarea técnica",2,"Arquitectura documentada y validada","Sprint 1","To Do","Tiempo estimado por asistente, revisar y ajustar."
6,"Crear estructura de carpetas","Como desarrollador, necesito una estructura organizada para el proyecto.","Media","Tarea técnica",1,"Carpetas y archivos base creados","Sprint 1","To Do","Tiempo estimado por asistente, revisar y ajustar."
7,"Instalar dependencias base","Como desarrollador, quiero instalar express, socket.io y nodemon.","Alta","Tarea técnica",1,"Servidor arranca sin errores","Sprint 1","To Do","Tiempo estimado por asistente, revisar y ajustar."
8,"Configurar servidor base","Como desarrollador, quiero servir control.html y display.html desde Express.","Alta","Historia de usuario",2,"Archivos accesibles vía navegador","Sprint 1","To Do","Tiempo estimado por asistente, revisar y ajustar."
9,"Configurar Socket.io","Como desarrollador, quiero que el servidor acepte conexiones y eventos básicos.","Alta","Historia de usuario",3,"Eventos connect y disconnect funcionan","Sprint 1","To Do","Tiempo estimado por asistente, revisar y ajustar."
10,"Definir estructura de datos de pelea","Como desarrollador, quiero un objeto que represente una pelea con todos sus datos.","Alta","Tarea técnica",2,"Objeto creado y documentado","Sprint 2","To Do","Tiempo estimado por asistente, revisar y ajustar."
11,"Implementar CRUD de pelea","Como desarrollador, quiero crear, actualizar y eliminar peleas.","Alta","Historia de usuario",5,"CRUD probado desde control","Sprint 2","To Do","Tiempo estimado por asistente, revisar y ajustar."
12,"Validar cambios según estado","Como desarrollador, quiero evitar cambios cuando la pelea esté cerrada.","Alta","Tarea técnica",2,"Validaciones activas en pruebas","Sprint 2","To Do","Tiempo estimado por asistente, revisar y ajustar."
13,"Emitir eventos de backend","Como desarrollador, quiero emitir actualizaciones en tiempo real a control y display.","Alta","Historia de usuario",3,"Eventos probados en tiempo real","Sprint 2","To Do","Tiempo estimado por asistente, revisar y ajustar."
14,"Implementar selector de área","Como juez, quiero elegir un área y conectarme a su canal.","Alta","Historia de usuario",2,"Área seleccionada se refleja en backend","Sprint 2","To Do","Tiempo estimado por asistente, revisar y ajustar."
15,"Modal nueva pelea","Como juez, quiero poder abrir un modal y crear una pelea con nombres y categoría.","Alta","Historia de usuario",4,"Modal envía datos y crea pelea","Sprint 2","To Do","Tiempo estimado por asistente, revisar y ajustar."
16,"Botones de puntaje","Como juez, quiero sumar o restar puntos a cada competidor.","Alta","Historia de usuario",3,"Puntajes se actualizan en backend y display","Sprint 2","To Do","Tiempo estimado por asistente, revisar y ajustar."
17,"Control de cronómetro","Como juez, quiero iniciar, pausar y reiniciar el tiempo de la pelea.","Alta","Historia de usuario",3,"Cronómetro sincronizado con display","Sprint 3","To Do","Tiempo estimado por asistente, revisar y ajustar."
18,"Eventos especiales","Como juez, quiero marcar descalificación o lesión con confirmación.","Alta","Historia de usuario",2,"Evento finaliza pelea y queda en historial","Sprint 3","To Do","Tiempo estimado por asistente, revisar y ajustar."
19,"Finalizar pelea","Como juez, quiero cerrar la pelea para que no se hagan más cambios.","Alta","Historia de usuario",2,"Estado pasa a CERRADA y se guarda ganador","Sprint 3","To Do","Tiempo estimado por asistente, revisar y ajustar."
20,"Historial visual","Como juez, quiero ver un listado de eventos importantes durante la pelea.","Media","Historia de usuario",3,"Historial visible y ordenado","Sprint 3","To Do","Tiempo estimado por asistente, revisar y ajustar."
21,"Render inicial de datos","Como espectador, quiero ver el estado inicial de la pelea al conectarme.","Alta","Historia de usuario",2,"Datos correctos al cargar display","Sprint 3","To Do","Tiempo estimado por asistente, revisar y ajustar."
22,"Actualización en tiempo real","Como espectador, quiero que el display se actualice sin refrescar.","Alta","Historia de usuario",3,"Cambios se reflejan instantáneamente","Sprint 3","To Do","Tiempo estimado por asistente, revisar y ajustar."
23,"Formato visual claro","Como espectador, quiero ver puntajes y tiempo de forma clara.","Media","Historia de usuario",2,"Estilo visual aprobado","Sprint 3","To Do","Tiempo estimado por asistente, revisar y ajustar."
24,"Pruebas de creación de pelea","Probar que se cree una pelea correctamente en varias áreas.","Alta","Tarea técnica",2,"Casos de prueba superados","Sprint 4","To Do","Tiempo estimado por asistente, revisar y ajustar."
25,"Pruebas de puntaje simultáneo","Probar que varios jueces puedan modificar puntajes sin conflictos.","Alta","Tarea técnica",2,"No hay inconsistencias","Sprint 4","To Do","Tiempo estimado por asistente, revisar y ajustar."
26,"Pruebas de cronómetro","Probar inicio, pausa, reinicio y finalización automática.","Alta","Tarea técnica",2,"Cronómetro estable","Sprint 4","To Do","Tiempo estimado por asistente, revisar y ajustar."
27,"Pruebas de eventos especiales","Probar descalificación y lesión con confirmación y finalización.","Alta","Tarea técnica",2,"Eventos reflejados en historial","Sprint 4","To Do","Tiempo estimado por asistente, revisar y ajustar."
